Região,Área,Pagamento,Opinião,Renda,Idade
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.14,28
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.1,28
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.94,37
Aratibutantã,Administração,Bolsas de estudo,Indiferente,2.14,37
Aratibutantã,Engenharia e Produção,Incentivos federais,Satisfeito,1.72,34
Jaquereçaba,Administração,Recursos próprios,Indiferente,2.6,38
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.16,43
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.1,34
Aratibutantã,Engenharia e Produção,Incenti ,Insatisfeito,2.57,33
Aratibutantã,Computação e Matemática,Incentivos federais,Muito satisfeito,2.19,32
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.16,29
Baependinha,Jurídica e Contábil,Recursos próprios,Insatisfeito,2.52,38
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,1.94,35
Arati ,Engenharia e Produção,Bolsas de estudo,Indiferente,2.21,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,5.41,43
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.44,33
Itamaracanã,Humanidades,Recursos próprios,Muito satisfeito,1.17,28
Aratibutantã,Jurídica e Contábil,Recursos próprios,Satisfeito,1.93,31
Itamaracanã,Educacional,Finan ,Muito satisfeito,1,23
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.22,42
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.04,41
Baependinha,Jurídica e Contábil,Recursos próprios,Indiferente,3.12,37
Baependinha,Engenh ,Auxílio de familiares,Indiferente,2.45,38
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.11,28
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.41,34
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,2.09,39
Aratibutantã,Computação e Matemática,Financiamento bancário,Satisfeito,2.1,31
Baependinha,Jurídica e Contábil,Recursos próprios,Indiferente,1.4,32
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.14,28
Aratibutantã,Jurídica e Contábil,Recursos próprios,Satisfeito,2.39,34
Baependinha,Administração,Financiamento bancário,Satisfeito,1.2,30
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.19,30
Itamaracanã,Administ ,Financiamento bancário,Muito satisfeito,1.04,21
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.03,38
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.67,29
Baependinha,Educacional,Financiamento bancário,Satisfeito,2.02,31
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.63,34
Jaquereçaba,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,3.72,36
Itamaracanã,Administração,Auxílio de familiares,Muito satisfeito,1.31,26
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,1.56,30
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.48,31
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.6,30
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.22,38
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.65,29
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.46,34
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.1,29
Jaquereçaba,Engenharia e Produção,Incentivos federais,Indiferente,3.43,40
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,2.13,35
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.09,29
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.73,30
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,2.34,27
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3,35
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.01,18
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.16,25
Aratibutantã,Jurídica e Contábil,Recursos próprios,Insatisfeito,2.09,31
Jaquereçaba,Jurídica e Contábil,Incentiv ,Insatisfeito,3.61,33
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.26,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3,31
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Indiferente,2.29,32
Aratibutantã,Jurídica e Contábil,Recursos próprios,Insatisfeito,3.22,33
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.04,36
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.17,28
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.65,38
Baependinha,Jurídica e Contábil,Bolsas de estudo,Indiferente,1.89,27
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,5.25,33
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.21,24
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.38,42
Baependinha,Administração,Financiamento bancário,Satisfeito,2.34,35
Aratibutantã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.49,30
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Indiferente,2.19,26
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.15,27
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.58,28
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.03,28
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.51,31
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.13,31
Baependinha,Administ ,Financiamento bancário,Muito satisfeito,1.18,24
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.17,28
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.47,30
Baependinha,Engenharia e Produção,Bolsas de estudo,Indiferente,1.86,32
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.16,33
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.23,33
Aratibutantã, ,Financiamento bancário,Muito satisfeito,1.57,27
Baependinha,Jurídica e Contábil,Bolsas de estudo,Indiferente,3.86,31
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.74,33
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.33,23
Paranapitanga,Jurídica e Contábil,Incentivos federais,Insatisfeito,5.7,39
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Satisfeito,2.18,27
Itamaracanã,Computação e Matemática,Incentivos federais,Satisfeito,1.57,35
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.48,27
Baependinha,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,2.68,33
Baependinha,Jurídica e Contábil,Recursos próprios,Satisfeito,2.12,33
Baepen ,Jurídica e Contábil,Auxílio de familiares,Satisfeito,1.55,34
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.3,35
Baependinha,Computação e Matemática,Recursos próprios,Indiferente,2.25,34
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,28
Aratib ,Jurídica e Contábil,Recursos próprios,Indiferente,2.05,35
Baependinha,Computação e Matemática,Financiamento bancário,Satisfeito,1.42,30
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.22,29
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.85,31
Baependinha,Engenharia e Produção,Incentivos federais,Insatisfeito,2.1,37
Baependinha,Administração,Financiamento bancário,Satisfeito,2.58,27
Baependinha,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.01,40
Itamaracanã,Humanidades,Finan ,Muito satisfeito,1.03,29
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.57,35
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Indiferente,2.99,34
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.37,40
Baependinha,Humanidades,Financiamento bancário,Indiferente,1.67,38
Aratibutantã,Engenharia e Produção,Incentivos federais,Satisfeito,2.62,37
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.89,41
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.77,27
Baependinha,Administração,Financiamento bancário,Indiferente,1.6,29
Aratibutantã,Humanidades,Financiamento bancário,Muito satisfeito,1.59,25
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,2.15,33
Baependinha,Administração,Auxílio de familiares,Muito satisfeito,1.54,29
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.15,26
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.14,31
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.32,25
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.24,25
Jaquereçaba,Engenharia e Produção,Incentivos federais,Muito insatisfeito,3.99,40
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.1,26
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.14,36
Baependinha,Engenharia e Produção,Bolsas de estudo,Satisfeito,1.61,30
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.1,27
Itamaracanã,Jurídica e Contábil,Financia ,Muito satisfeito,1.08,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.67,33
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.81,30
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.33,27
Aratibutantã,Jurídica e Contábil,Recursos próprios,Muito insatisfeito,2.57,40
Jaquereçaba,Jurídica e Contábil,Incentiv ,Muito insatisfeito,3.96,37
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.25,26
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.15,26
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.04,30
Baependinha,Engenharia e Produção,Incentivos federais,Insatisfeito,2.26,33
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Indiferente,1.83,33
Itamarac ,Humanidades,Recursos próprios,Muito satisfeito,1.62,32
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.29,23
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.22,39
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.16,36
Jaquereçaba,Jurídica e Contábil,Bolsas de estudo,Muito insatisfeito,3.22,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.38,42
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.03,23
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Indiferente,4.46,35
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,5.6,33
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.24,39
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.19,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.13,39
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Muito insatisfeito,3.99,36
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatis ,3.91,34
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.14,24
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,1.61,25
Baependinha,Jurídica e Contábil,Recursos próprios,Indiferente,2.26,34
Itamarac ,Administração,Bolsas de estudo,Muito satisfeito,1.46,32
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,2.36,38
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Indiferente,1.84,31
Baependinha,Humanidades,Auxílio de familiares,Muito satisfeito,1.68,21
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.34,35
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,2.13,36
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.4,33
Jaquereçaba,Jurídica e Contábil,Recursos próprios,Indiferente,2.8,35
Aratibutantã,Humanidades,Incentivos federais,Indiferente,3.32,31
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfe ,6.4,36
Aratibutantã,Jurídica e Contábil,Recursos próprios,Satisfeito,1.96,31
Itamaracanã,Educacional,Recursos próprios,Muito satisfeito,1.21,29
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Indiferente,2.86,34
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,3.45,38
Baependinha,Engenharia e Produção,Incentivos federais,Muito satisfeito,1.8,32
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.89,33
Baependinha,Jurídica e Contábil,Bolsas de estudo,Indiferente,1.75,30
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Muito insatisfeito,2.7,33
Baependinha,Engenharia e Produção,Bolsas de estudo,Indiferente,2.84,33
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito s ,1.18,22
Baependinha,Engenharia e Produção,Bolsas de estudo,Satisfeito,1.46,30
Baependinha,Administração,Financiamento bancário,Muito sa ,1.57,22
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.63,35
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Indiferente,3.1,35
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.38,38
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Indiferente,2.59,35
Aratibutantã,Jurídi ,Incentivos federais,Muito insatisfeito,4.74,40
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,2.67,38
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.38,39
Itamaracanã,Administração,Recursos próprios,Muito satisfeito,1.23,30
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.15,26
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.6,34
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.33,31
Itamaracanã,Computação e Matemática,Financiamento bancário,Satisfeito,1.35,33
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.03,22
Baependinha,Administração,Financiamento bancário,Satisfeito,1.44,30
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.18,24
Baependinha,Engenharia e Produção,Incentivos federais,Insatisfeito,2.14,35
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.57,39
Itamaracanã,Engenharia e Produção,Recursos próprios,Satisfeito,1.79,34
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.66,26
Itamaracanã,Administração,Recursos próprios,Muito satisfeito,1.27,29
Baependinha,Computação e Matemática,Recursos próprios,Muito satisfeito,1.51,26
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.12,25
Aratibutantã,Humanidades,Recursos próprios,Insatisfeito,2.72,66
Baependinha,Jurídica e Contábil,Recursos próprios, ,1.53,31
Aratibutantã,Computação e Matemática,Financiamento bancário,Satisfeito,1.93,30
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.17,30
Jaquereçaba,Engenharia e Produção,Incentivos federais,Muito insatisfeito,5.31,45
Baependinha,Administração,Financiamento bancário,Satisfeito,1.55,25
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.54,36
Baependinha,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,2.43,36
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.03,24
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.39,29
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.76,31
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.28,26
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.31,25
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.29,26
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.95,33
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.42,28
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,5.34,68
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.82,36
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Indiferente,1.85,28
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,2.14,33
Aratibutantã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.71,32
Aratibutantã,Engenharia e Produção,Incentivos federais,Satisfeito,2.17,39
Baependinha,Jurídica e Contábil,Recursos próprios,Satisfe ,1.16,25
Aratibutantã,Engenharia e Produção,Incent ,Insatisfeito,2.72,41
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.39,34
Baependinha,Educacional,Financiamento bancário,Indiferente,1.72,35
Aratibu ,Administração,Financiamento bancário,Satisfeito,1.39,25
Jaquer ,Engenharia e Produção,Incentivos federais,Insatisfeito,2.15,36
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Indiferente,1.9,33
Jaquereçaba,Engenharia e Produção,Incentivos federais,Muito insatisfeito,4.04,31
Baependinha,Jurídica e Contábil,Bolsas de estudo,Satisfeito,2.34,37
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.77,39
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.31,29
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.82,26
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,1.56,28
Jaquer ,Engenharia e Produção,Incentivos federais,Indiferente,3.75,29
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.07,28
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.02,39
Baependinha,Engenhar ,Financiamento bancário,Satisfeito,1.76,31
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.57,25
Itamaracanã,Humanidades,Financ ,Muito satisfeito,1.12,26
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.77,29
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.48,31
 ,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.25,32
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,2.48,30
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,11.56,37
Baepend ,Computação e Matemática,Financiamento bancário,Satisfeito,2.8,33
Baependinha,Humanidades,Recursos próprios,Satisfeito,1.47,32
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.63,38
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.35,29
Baependinha,Engenharia e Produção,Bolsas de estudo,Satisfeito,1.47,31
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.35,29
Baependinha,Engenharia e Produção,Finan ,Satisfeito,1.44,25
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.14, 
Baependinha,Administração,Recursos próprios,Satisfeito,2.29,26
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.04,28
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.25,29
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,1.93,33
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.56,36
Aratibutantã,Administração,Incentivos federais,Satisfeito,1.59,31
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito sa ,1.11,28
Aratibutantã,Computação e Matemática,Incentivos federais,Muito insatisfeito,3.2,35
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.17,29
Aratibutantã,Engen ,Incentivos federais,Insatisfeito,2.89,31
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.09,30
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,2.48,29
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.47,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.89,30
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,2.33,34
Baependinha,Jurídica e Contábil,Bolsas de estudo,Indiferente,1.43,34
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.02,19
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.44,22
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.09,26
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,3.56,28
Jaquereçaba,Engenharia e Produção,Incentivos federais,Muito insatisfeito,4.94,37
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.09,30
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.28,36
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.04,27
Aratibutantã,Jurídi ,Incentivos federais,Insatisfeito,3.45,36
Baependinha,Educacional,Bolsas de estudo,Satisfeito,1.51,30
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito, ,22
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,2.18,34
Aratibutantã,Humanidades,Recursos próprios,Satisfeito,2.43,31
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Insatisfeito,2.6,36
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.77,39
Baependinha,Administração,Financiamento bancário,Satisfeito,1.83,31
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Muito insatisfeito,3.34,33
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.34,31
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,8.93,39
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.41,31
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.05,26
Baependinha,Humanidades,Recursos próprios,Muito satisfeito,1.63,31
Baependinha,Engenharia e Produção,Bolsas de estudo,Satisfeito,2.52,32
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,3,34
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.41,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.09,43
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.47,28
Baependinha,Administração,Bolsas de estudo,Satisfeito,2.39,37
Aratibutantã, ,Financiamento bancário,Satisfeito,1.45,30
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.93,36
Baependinha,Administração,Bolsas de estudo,Muito satisfeito,1.34,34
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.93,32
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.43,27
Baependinha,Engenharia e Produção,Incentivos federais,Satisfeito,1.56,29
Baependinha,Engenharia e Produção,Recurs ,Muito satisfeito,1.24,34
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.04,19
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,2.07,34
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.03,23
Baependinha,Humanidades,Recursos próprios,Muito satisfeito,1.42,30
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.62,32
Baependinha,Jurídica e Contábil,Incentivos federais,Indifer ,2.3,37
Itamaracanã,Educacional,Recursos próprios,Muito satisfeito,1.25,34
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.24,33
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.26,32
Itamaracanã,Humanidades,Recursos próprios,Muito satisfeito,1.24,27
Baependinha,Humanidades,Financiamento bancário,Indiferente,2.21,35
Baependinha,Humanidades,Recursos próprios,Muito satisfeito,1.21,28
Itamaracanã,Engenharia e Produção,Financia ,Muito satisfeito,1.13,30
Baependinha,Jurídica e Contábil,Incentivos federais,Muito satisfeito,1.47,27
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.78,32
Itama ,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.35,22
Aratibutantã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.68,24
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,1.57,34
Aratibutantã,Engenharia e Produção,Recursos próprios,Muito insatisfeito,3.1,38
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,3.24,31
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,3.16,34
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,3.24,40
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Indiferente,2.02,31
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.91,40
Baependinha,Engenharia e Produção,Incentivos federais,Satisfeito,1.6,33
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.1,29
Baependinha,Humanidades,Recursos próprios,Muito sa ,1.54,31
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.54,36
Baependinha,Computação e Matemática,Bolsas de estudo,Satisfeito,1.9,31
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.7,34
Baependinha,Educacional,Incentivos federais,Muito satisfeito,2.49,30
Baepen ,Administração,Financiamento bancário,Satisfeito,1.43,36
Baependinha,Jurídica e Contábil,Bolsas de estudo,Indiferente,2.03,37
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,5.04,38
Aratibutantã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.38,29
Aratibutantã,Administração,Financiamento bancário,Muito satisfeito,1.51,28
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.93,36
 ,Educacional,Financiamento bancário,Muito satisfeito,1.74,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.62,38
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,5.94,66
Aratibutantã,Administração,Incentivos federais,Insatisfeito,2.23,38
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.59,45
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.91,42
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.68,31
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.03,66
Itamaracanã,Engenharia e Produção, ,Muito satisfeito,1.11,30
Aratibutantã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.56,24
Itamaracanã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.31,31
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,3.45,36
Baependinha,Administração,Recursos próprios,Satisfeito,2.14,35
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,1.94,36
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,1.94,33
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Insatisfeito,2.02,35
Baependinha,Administração,Financiamento bancário,Satisfeito,1.43,29
Itamaracanã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.27,26
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.2,33
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.37,28
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Satisfeito,1.8,33
Baependinha,Administração,Recursos próprios,Muito satisfeito,1.27,25
Aratibutantã,Computação e Matemática,Recursos próprios,Satisfeito,2.07,29
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.47,33
Aratibutantã,Administração,Recursos próprios,Muito satisfeito,1.68,28
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.43,35
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.82,35
